Household tota,Total - Structural type of dwelling,  Single-detached house,  Apartment in a building that has five or more storeys,  Other attached dwellings,  Movable dwelling
Total - Household total income groups in 2020 for private households - 25% sample data,9925,4275,110,5530,10
"  Under $5,000",100,45,0,55,0
"  $5,000 to $9,999",105,30,0,70,0
"  $10,000 to $14,999",130,30,0,100,0
"  $15,000 to $19,999",145,40,0,105,0
"  $20,000 to $24,999",210,50,10,155,0
"  $25,000 to $29,999",230,70,0,160,0
"  $30,000 to $34,999",250,70,0,180,0
"  $35,000 to $39,999",165,60,0,105,0
"  $40,000 to $44,999",240,95,0,145,0
"  $45,000 to $49,999",235,75,0,165,0
"  $50,000 to $59,999",455,180,0,275,0
"  $60,000 to $69,999",505,200,0,300,0
"  $70,000 to $79,999",455,175,10,270,0
"  $80,000 to $89,999",495,225,10,265,0
"  $90,000 to $99,999",430,185,0,245,0
"  $100,000 and over",5765,2750,70,2940,0
"    $100,000 to $124,999",1145,435,20,685,0
"    $125,000 to $149,999",1085,475,20,590,0
"    $150,000 to $199,999",1390,645,20,725,0
"    $200,000 and over",2145,1195,15,940,0
Median : Income: Total income of household,118000,135000,121000,107000,x
